Date,Energy (kcal),Potassium (mg),Sodium (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Protein (g),Completed
2026-01-12,1767.91,1872.53,1514.50,146.19,53.37,1.10,26.99,5.84,79.70,89.98,298.09,18.84,9.49,29.71,0.20,0.23,6.85,136.22,true
2026-01-13,1967.11,1961.23,1916.70,185.25,45.79,49.76,32.07,5.84,126.31,90.65,298.09,19.24,10.43,30.29,0.21,0.30,7.72,140.04,true
2026-01-14,1967.11,1961.23,1916.70,185.25,45.79,49.76,32.07,5.84,126.31,90.65,298.09,19.24,10.43,30.29,0.21,0.30,7.72,140.04,true
2026-01-15,2241.75,2360.97,2068.52,217.39,52.15,49.85,54.98,7.84,150.61,105.96,298.09,26.25,15.02,32.84,0.21,0.32,7.79,147.52,true
2026-01-16,1917.16,1279.78,1391.69,107.42,47.79,0.29,17.10,5.84,46.58,130.09,240.97,14.81,6.39,47.33,0.01,0.05,4.09,120.66,true
2026-01-17,2351.76,1909.14,1883.21,162.55,55.19,0.38,40.01,7.84,92.84,153.40,240.97,25.32,13.49,50.88,0.01,0.07,4.17,129.13,true
2026-01-18,1938.79,1608.78,2956.82,160.14,97.79,0.29,18.87,6.49,49.29,134.92,492.15,18.88,7.81,43.86,0.01,0.12,5.40,113.88,true
2026-01-19,1942.34,3417.23,1209.62,131.80,43.11,34.81,15.69,2.82,78.44,112.14,243.69,29.96,9.45,31.79,0.07,0.11,6.74,137.65,true
2026-01-20,2112.18,3045.75,1494.11,164.98,54.96,21.09,42.57,7.84,95.50,126.45,174.81,31.29,12.90,37.77,0.04,0.10,5.82,126.47,true
2026-01-21,2236.65,3163.09,1624.52,155.15,60.25,21.00,23.98,9.16,81.84,134.68,240.68,35.07,13.54,45.22,0.06,0.09,6.41,150.29,true
2026-01-22,2451.54,2631.75,2263.90,178.89,70.24,0.54,23.47,9.16,95.50,153.16,219.76,35.69,13.63,45.53,0.05,0.07,9.64,153.11,true
2026-01-23,2426.73,2500.50,2219.46,169.89,65.24,0.54,23.47,9.16,91.50,151.74,248.94,33.95,16.67,43.71,0.47,0.44,12.35,155.96,true
2026-01-24,2426.73,2500.50,2219.46,169.89,65.24,0.54,23.47,9.16,91.50,151.74,248.94,33.95,16.67,43.71,0.47,0.44,12.35,155.96,true
2026-01-25,2426.73,2500.50,2219.46,169.89,65.24,0.54,23.47,9.16,91.50,151.74,248.94,33.95,16.67,43.71,0.47,0.44,12.35,155.96,true
2026-01-26,2333.73,2430.50,2234.46,148.89,66.99,0.54,23.47,9.16,68.75,150.39,248.94,33.96,16.74,43.75,0.47,0.44,12.35,155.81,false
2026-01-27,2420.17,1992.95,2059.32,137.54,51.35,7.43,23.79,9.44,73.04,161.85,258.94,34.91,15.89,48.43,0.48,0.61,12.83,146.95,true
2026-01-28,2351.18,3102.52,3730.92,177.95,65.26,0.54,31.52,17.19,99.55,140.04,228.67,26.76,12.24,40.98,0.03,0.08,8.39,152.65,true
2026-01-29,2351.18,3102.52,3730.92,177.95,65.26,0.54,31.52,17.19,99.55,140.04,228.67,26.76,12.24,40.98,0.03,0.08,8.39,152.65,false
2026-01-30,2455.11,2996.62,3781.00,174.65,63.61,0.54,30.20,13.87,97.90,151.59,243.88,26.76,12.24,41.01,0.03,0.08,8.39,152.66,true
2026-01-31,2320.53,2403.14,2861.25,157.27,75.24,0.54,28.17,11.86,68.88,160.00,139.95,33.40,16.44,43.30,0.02,0.06,8.12,132.85,true
2026-02-01,1824.29,1951.06,2111.08,119.89,60.22,0.54,18.47,6.14,49.33,129.18,109.98,26.23,11.79,31.44,0.01,0.05,7.99,104.86,true
2026-02-02,2709.76,2581.44,2121.74,191.15,60.11,0.63,44.88,9.66,116.36,169.90,331.19,39.21,20.04,45.77,0.26,0.37,12.74,157.41,true
2026-02-03,2539.03,2200.80,1824.86,173.72,53.59,0.54,24.15,7.84,101.91,159.14,321.14,39.20,19.95,42.25,0.26,0.36,12.67,155.95,true
2026-02-04,2547.26,2512.34,1644.74,176.89,52.96,0.63,43.06,7.84,109.22,153.92,381.59,41.36,21.77,39.56,0.34,0.47,14.30,161.79,true
2026-02-05,2642.59,2562.60,2242.92,165.76,63.59,0.54,22.15,5.84,88.93,167.11,446.58,34.85,18.67,45.51,0.34,0.46,14.23,174.31,false
2026-02-06,2463.69,2290.50,2089.52,147.39,66.99,0.54,22.97,7.16,67.25,165.89,258.98,33.96,16.74,46.75,0.47,0.44,12.35,152.81,true
2026-02-07,2067.62,1874.60,1409.52,123.59,48.34,0.54,20.15,5.84,62.10,134.44,203.99,33.46,15.24,35.78,0.47,0.44,12.35,133.82,true
2026-02-08,2173.30,2161.40,2914.88,175.71,104.59,0.54,23.27,5.84,57.96,148.84,488.11,29.80,11.71,42.24,0.01,0.12,9.30,129.44,true
2026-02-09,2287.30,1864.40,3167.88,176.31,105.24,0.54,21.92,6.49,57.91,161.64,487.11,29.80,11.71,46.74,0.01,0.12,9.30,130.54,true
2026-02-10,2263.31,2227.03,1951.17,137.09,46.09,0.54,23.15,7.34,77.85,144.80,220.73,38.98,12.87,40.59,0.06,0.08,10.30,144.43,true
2026-02-11,2586.46,3023.59,2982.48,158.23,57.37,0.54,24.29,9.96,90.51,160.53,278.18,38.98,12.87,43.04,0.06,0.08,10.30,174.94,true
2026-02-12,2559.42,3017.93,3001.11,163.89,64.74,0.54,27.47,11.66,86.00,161.50,278.18,39.48,14.37,48.56,0.06,0.08,10.30,170.92,true
2026-02-13,2537.95,2626.77,2102.99,169.23,52.46,0.63,46.06,9.34,102.15,160.11,220.73,46.00,17.46,43.14,0.06,0.09,10.38,151.90,true
2026-02-14,2228.22,2005.40,2155.92,173.09,49.09,0.54,21.65,5.84,110.85,142.48,127.49,25.73,10.29,40.48,0.76,0.05,7.99,110.37,true
2026-02-15,2355.73,1959.49,2155.65,139.59,70.59,0.54,22.15,7.84,55.85,157.54,237.60,36.98,11.03,50.61,1.22,0.05,8.59,160.38,true
2026-02-16,2355.73,1959.49,2155.65,139.59,70.59,0.54,22.15,7.84,55.85,157.54,237.60,36.98,11.03,50.61,1.22,0.05,8.59,160.38,true
2026-02-17,2398.21,2136.12,3160.96,146.59,80.57,0.54,19.15,5.82,55.68,145.73,279.88,25.73,10.29,40.97,0.01,0.05,7.99,197.86,false
